Model,Status,Certified since version,Year
AOPEN DE3450,Certified,103,2028
AOPEN DE3650,Certified,107,2029
AOPEN DE3650S,Certified,107,2029
AOPEN DE6340,Certified,126,2029
AOPEN DEX5750,Certified,103,2030
AOPEN ST100,Certified,129,2028
AOPEN WB5116,Certified,116,2030
AOPEN eTILE 15M-FP2,Certified,114,2028
AOPEN eTILE 19M AIO,Certified,103,2028
ASUS B5402FEA,Certified,130,2030
ASUS B5402FVA,Certified,130,2032
ASUS BR1100CKA,Certified,111,2029
ASUS BR1100FK,Certified,110,2029
ASUS EeeBook E402SA,Certified,103,2029
ASUS ExpertCenter D700MD,Certified,118,2030
ASUS ExpertCenter E5 24 AiO,Certified,114,2030
ASUS Mini PC PL64,Certified,116,2030
ASUS Mini PC PN41,Certified,108,2029
ASUS Mini PC PN64,Certified,119,2030
ASUS VivoBook L203MA,Certified,103,2028
ASUS Vivobook Flip 14 TP401NA,Certified,103,2028
ASUS X401U,Certified,103,2024
ASUS X55C,Certified,103,2024
ASUS Zenbook Flip UX360CA,Certified,103,2027
ASUS x200m,Certified,103,2026
Acer Aspire 3 A315,Certified,103,2030
Acer Aspire E3-111,Certified,103,2026
Acer Aspire One 11 AO1-132,Certified,103,2027
Acer Aspire V5 131,Certified,103,2025
Acer Aspire V5-122P,Certified,103,2026
Acer E220 Veriton M26X2G,Certified,123,2029
Acer One 11 Z8-284,Certified,117,2029
Acer One 14 Z2-485,Certified,103,2028
Acer R3-131T,Certified,103,2027
Acer TravelMate B115-MP,Certified,103,2026
Acer TravelMate B3 11R-31,Certified,103,2028
Acer TravelMate B3 B311,Certified,103,2028
Acer TravelMate P214,Certified,103,2030
Acer TravelMate P459-G2-M,Certified,103,2028
Acer TravelMate Spin B118-G2-RN,Certified,103,2028
Acer TravelMate Spin B118-RN,Certified,103,2028
Acer TravelMate Spin B3 TMB311R,Certified,110,2028
Acer Travelmate B113-E,Certified,103,2027
Acer Travelmate B113-M,Certified,103,2024
Acer VN4640G,Certified,111,2027
Acer Veriton L4630G,Certified,103,2026
Acer Veriton S2690G,Certified,118,2030
Advantech ARK-1125H,Certified,123,2030
Advantech ARK-DS520,Decertified,,2023
Advantech DS-085,Certified,103,2030
Advantech DS-202,Certified,127,2029
Advantech DS-410,Certified,110,2029
Advantech DS-570,Certified,103,2026
Advantech PPC-3150SW,Certified,105,2028
Advantech USC-360H,Certified,129,2030
Advantech UTC-115G,Certified,119,2028
Advantech UTC-120G,Certified,110,2028
Advantech UTC-120K,Certified,129,2030
Advantech UTC-124G3,Certified,111,2028
Advantech UTC-520F,Certified,103,2027
Advantech UTC-520J,Certified,118,2030
"Apple Mac Mini 7,1",Certified,103,2026
"Apple MacBook Air 6,1",Certified,103,2026
"Apple Macbook 7,1",Decertified,103,2023
"Apple Macbook Air 5,1",Certified,103,2025
"Apple Macbook Air 7,2",Certified,103,2027
"Apple Macbook Pro 11,2",Certified,103,2025
"Apple Macbook Pro 9,2",Certified,103,2025
"Apple iMac 11,2",Certified,103,2024
"Apple iMac 12,1",Minor issues expected,,2024
Asus ExpertBook B1500CEA,Certified,121,2030
Asus ExpertBook B1502CBA,Certified,125,2030
Asus ExpertCenter D700SD,Certified,120,2030
Asus P1512CEA,Certified,122,2030
Asus PN43-S1,Certified,128,2030
Asus Prime J4005I-C,Certified,127,2028
Atrust t20W,Certified,124,2028
Atrust t21W,Certified,124,2029
Azulle Access 4,Certified,108,2028
Beelink Mini S N5095,Certified,115,2030
CVTE OPS72A-1215U,Certified,124,2030
Cybernet Cybermed T10C,Certified,103,2025
Dell Inspiron 15 3531,Certified,103,2026
Dell Inspiron 3280 AIO,Certified,103,2028
Dell Inspiron 3501,Certified,103,2030
